student_id;student_name;sections;center
STU01;student 1;1A;centro 1
STU02;student 2;1A;centro 1
STU03;student 3;1A,1B;centro 1
STU04;student 4;1A;centro 1
STU05;student 5;1A;centro 1
STU06;student 6;1A;centro 1
STU07;student 7;1A,2A;centro 1
STU08;student 8;2A;centro 1
STU09;student 9;2A;centro 1
STU10;student 10;2A,1B;centro 1
STU11;student 11;2A;centro 1
STU12;student 12;2A;centro 1
STU13;student 13;2A;centro 1
STU14;student 14;2A;centro 1
STU15;student 15;3A;centro 2
STU16;student 16;3A,3B;centro 2
STU17;student 17;3A;centro 2
STU18;student 18;3A;centro 2
STU19;student 19;3A;centro 2
STU20;student 20;3A;centro 2
STU21;student 21;3B;centro 2
STU22;student 22;3B;centro 2
STU23;student 23;3B;centro 2
STU24;student 24;3B,3A;centro 2
STU25;student 25;3B;centro 2
STU26;student 26;3B;centro 2
STU27;student 27;3B;centro 2
STU28;student 28;3B;centro 2
